id	name	created_at	updated_at
1	et	2019-04-30 00:00:00	1999-01-12 00:00:00
2	rerum	1981-11-06 00:00:00	2004-02-22 00:00:00
3	fugit	1996-08-16 00:00:00	2004-03-07 00:00:00
4	quisquam	1980-06-04 00:00:00	2002-11-10 00:00:00
5	praesentium	2019-10-21 00:00:00	1990-05-26 00:00:00
6	consequatur	1970-07-21 00:00:00	1993-07-24 00:00:00
7	ducimus	2016-04-12 00:00:00	2008-02-14 00:00:00
8	corrupti	1970-02-25 00:00:00	1989-12-31 00:00:00
9	aliquam	2010-10-14 00:00:00	1990-11-16 00:00:00
10	minus	2005-10-23 00:00:00	1986-08-14 00:00:00
11	quo	2013-05-13 00:00:00	2019-11-24 00:00:00
12	aut	2000-08-17 00:00:00	1982-09-11 00:00:00
13	vel	1984-12-29 00:00:00	1974-03-09 00:00:00
14	eum	2014-05-28 00:00:00	2017-01-02 00:00:00
15	voluptatibus	1978-03-13 00:00:00	1990-03-06 00:00:00
16	doloremque	2004-01-31 00:00:00	1999-12-28 00:00:00
17	sit	1984-05-29 00:00:00	1990-08-05 00:00:00
18	nobis	2017-04-14 00:00:00	2009-08-05 00:00:00
19	accusantium	2014-05-14 00:00:00	2016-08-17 00:00:00
20	repudiandae	2006-01-01 00:00:00	1984-03-15 00:00:00
