community_id	user_id	created_at
1	5	1993-04-25 00:00:00
1	17	1975-01-03 00:00:00
1	57	1996-08-23 00:00:00
1	61	1983-05-01 00:00:00
1	98	2020-02-16 00:00:00
2	12	1978-05-09 00:00:00
2	18	2009-12-12 00:00:00
2	39	2002-09-04 00:00:00
2	93	2012-05-11 00:00:00
3	4	1983-08-21 00:00:00
3	32	1992-06-09 00:00:00
3	54	1972-06-06 00:00:00
3	81	2009-05-10 00:00:00
4	67	1995-06-22 00:00:00
4	73	1985-07-13 00:00:00
4	89	2019-01-06 00:00:00
5	23	2000-10-05 00:00:00
5	35	1987-02-22 00:00:00
5	44	1993-04-19 00:00:00
5	91	2016-11-02 00:00:00
5	92	2008-10-23 00:00:00
5	100	1975-11-22 00:00:00
6	15	1976-03-21 00:00:00
6	22	2013-07-11 00:00:00
6	45	2020-06-02 00:00:00
6	48	1994-04-30 00:00:00
6	70	1996-02-11 00:00:00
7	14	2019-07-13 00:00:00
7	90	2005-12-07 00:00:00
8	52	2017-05-12 00:00:00
8	71	1985-06-20 00:00:00
8	80	1984-06-17 00:00:00
8	87	1980-04-27 00:00:00
9	13	2007-05-15 00:00:00
9	29	2007-12-18 00:00:00
9	40	1971-04-12 00:00:00
9	72	1996-11-20 00:00:00
10	8	1993-04-22 00:00:00
10	27	2003-06-13 00:00:00
10	28	1997-12-28 00:00:00
10	43	1992-03-24 00:00:00
10	56	1997-04-27 00:00:00
10	58	2010-11-02 00:00:00
10	60	1981-10-08 00:00:00
10	65	2005-12-27 00:00:00
10	76	1987-01-06 00:00:00
11	37	2013-03-18 00:00:00
11	50	1996-02-15 00:00:00
11	99	1997-01-25 00:00:00
12	19	2001-12-10 00:00:00
12	20	1990-08-18 00:00:00
12	21	1990-04-11 00:00:00
12	24	2013-02-20 00:00:00
12	30	2012-09-10 00:00:00
12	33	2003-06-08 00:00:00
12	36	1984-06-23 00:00:00
12	63	1980-03-17 00:00:00
12	64	1975-07-07 00:00:00
12	77	1988-01-07 00:00:00
12	78	1975-02-23 00:00:00
12	96	2017-12-28 00:00:00
12	97	1979-04-21 00:00:00
13	7	2003-04-14 00:00:00
13	69	2004-12-08 00:00:00
13	75	1971-10-20 00:00:00
13	82	2020-02-29 00:00:00
14	1	2011-02-16 00:00:00
14	25	1975-07-14 00:00:00
15	16	2010-04-13 00:00:00
15	34	1978-05-19 00:00:00
15	46	1984-01-13 00:00:00
15	62	2014-10-03 00:00:00
15	79	2016-03-27 00:00:00
15	85	1978-08-14 00:00:00
15	86	1971-04-14 00:00:00
15	88	1970-03-24 00:00:00
16	6	1989-10-20 00:00:00
16	31	2003-07-06 00:00:00
16	41	1989-04-27 00:00:00
16	53	1973-07-19 00:00:00
16	66	1970-11-01 00:00:00
16	83	2016-12-17 00:00:00
16	94	1986-10-15 00:00:00
17	38	1976-04-21 00:00:00
17	49	2014-06-12 00:00:00
17	74	1987-01-02 00:00:00
17	95	2008-01-16 00:00:00
18	11	2001-06-26 00:00:00
18	51	1989-01-05 00:00:00
18	84	1991-02-19 00:00:00
19	9	2011-04-24 00:00:00
19	10	1975-01-19 00:00:00
19	26	2008-01-13 00:00:00
19	42	2010-12-15 00:00:00
19	47	2019-01-18 00:00:00
20	2	1998-03-13 00:00:00
20	3	1982-05-24 00:00:00
20	55	2004-10-06 00:00:00
20	59	1970-07-06 00:00:00
20	68	2011-07-12 00:00:00
